Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.5130859375,0.0,0,3428,0,0,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5130859375,0.00450717936761,3,3019,4,402,4032
numenta,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.5130859375,1.06137570748,2,13498,3,1580,15833
numenta,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.5130859375,-2.58959864835,3,13532,21,1587,15893
numenta,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.5130859375,0.386915555247,5,13556,8,1583,15902
numenta,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.5130859375,0.647181262728,1,1783,1,238,2380
numenta,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5130859375,0.0747881465242,6,3021,4,397,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5130859375,0.875727409493,1,3025,0,402,4032
numenta,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5130859375,-1.89304887591,18,15788,13,1481,18050
numenta,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.5130859375,-1.44,0,1216,2,163,1624
numenta,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.5130859375,1.07071587178,2,1872,3,248,2500
numenta,reward_low_FP_rate,realTraffic/speed_6005.csv,0.5130859375,0.179318715936,2,1883,3,237,2500
numenta,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.5130859375,0.0,0,3428,0,0,4032
numenta,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.5130859375,0.568159134461,1,1621,0,216,2162
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5130859375,1.01948603678,2,3023,3,400,4032
numenta,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.5130859375,-0.920195908233,4,13652,8,1428,15842
numenta,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.5130859375,1.98565501863,5,1871,0,245,2495
numenta,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.5130859375,0.720909942923,2,13559,0,1591,15902
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5130859375,-1.12276900965,1,3023,0,404,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5130859375,0.955724313387,3,3085,0,340,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5130859375,0.85712688145,1,3025,0,402,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.5130859375,0.852395601613,6,3453,10,459,4621
numenta,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.5130859375,0.884546893595,3,5787,4,723,7267
numenta,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.5130859375,1.43550674462,5,13571,6,1521,15853
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5130859375,0.0122862696471,3,3021,4,400,4032
numenta,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.5130859375,1.16082018895,2,1216,3,160,1624
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5130859375,-0.88,0,3424,4,0,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5130859375,0.315210580552,3,3545,3,470,4730
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5130859375,1.71603136566,3,3026,0,399,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5130859375,0.520511058615,5,3022,3,398,4032
numenta,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.5130859375,-2.09823197908,1,1872,4,248,2500
numenta,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.5130859375,1.67537289368,8,13511,9,1580,15858
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.5130859375,-1.1,0,3423,5,0,4032
numenta,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.5130859375,1.11270035668,3,1231,2,161,1643
numenta,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5130859375,1.4887341609,2,3025,1,400,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5130859375,1.71595613499,2,3026,0,400,4032
numenta,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.5130859375,0.744870630827,8,13523,8,1577,15866
numenta,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5130859375,-0.138449197924,1,3026,0,401,4032
numenta,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.5130859375,-1.74511219487,1,4029,6,529,5315
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5130859375,-0.0797372488212,1,3020,5,402,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5130859375,1.05603136566,2,3023,3,400,4032
numenta,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.5130859375,-2.22,0,1409,1,190,1882
numenta,reward_low_FP_rate,realTraffic/speed_7578.csv,0.5130859375,0.953164230478,3,839,3,113,1127
numenta,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.5130859375,2.01624336134,3,3082,0,343,4032
numenta,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.5130859375,0.422637290335,1,1153,2,152,1538
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5130859375,-0.759713520491,2,3544,3,472,4730
numenta,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.5130859375,0.0,0,3428,0,0,4032
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.5130859375,-1.0,0,3025,0,403,4032
numenta,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.5130859375,0.673816500018,2,1155,0,151,1538
numenta,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.5130859375,0.48642041429,2,1231,1,163,1643
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5130859375,0.0,0,3428,0,0,4032
numenta,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.5130859375,0.231494162856,3,13494,7,1577,15831
numenta,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.5130859375,2.12393321501,9,19670,7,2259,22695
numenta,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.5130859375,2.02468907366,4,13511,3,1583,15851
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.5130859375,0.638908670438,2,3024,1,401,4032
numenta,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.5130859375,0.20241650019,1,3022,3,402,4032
numenta,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.5130859375,0.486920188446,5,8534,1,1030,10320
numenta,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5130859375,-0.233954928552,1,930,1,125,1243
Totals,,,,17.1383975173,159,299161,186,33336,365558
