Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numenta,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.500982666016,0.0,0,3428,0,0,4032
numenta,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.500982666016,0.38031153296,3,3019,4,402,4032
numenta,standard,realTweets/Twitter_volume_FB.csv,0.500982666016,1.39137570748,2,13498,3,1580,15833
numenta,standard,realTweets/Twitter_volume_IBM.csv,0.500982666016,-0.544120707931,3,13531,22,1587,15893
numenta,standard,realTweets/Twitter_volume_AAPL.csv,0.500982666016,1.1018033253,5,13556,8,1583,15902
numenta,standard,realTraffic/occupancy_6005.csv,0.500982666016,0.647121712126,1,1782,2,238,2380
numenta,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.500982666016,0.514788146524,7,3021,4,396,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.500982666016,0.875727409493,1,3025,0,402,4032
numenta,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.500982666016,-0.353048875912,18,15789,12,1481,18050
numenta,standard,realAdExchange/exchange-2_cpc_results.csv,0.500982666016,-1.22,0,1216,2,163,1624
numenta,standard,realTraffic/occupancy_t4013.csv,0.500982666016,1.51071587178,2,1873,2,248,2500
numenta,standard,realTraffic/speed_6005.csv,0.500982666016,0.509318715936,2,1883,3,237,2500
numenta,standard,artificialNoAnomaly/art_noisy.csv,0.500982666016,0.0,0,3428,0,0,4032
numenta,standard,realTraffic/TravelTime_451.csv,0.500982666016,0.568159134461,1,1621,0,216,2162
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.500982666016,1.12287899933,2,3021,5,400,4032
numenta,standard,realTweets/Twitter_volume_GOOG.csv,0.500982666016,-0.040196171396,4,13652,8,1428,15842
numenta,standard,realTraffic/speed_t4013.csv,0.500982666016,1.87565501863,5,1870,1,245,2495
numenta,standard,realTweets/Twitter_volume_CRM.csv,0.500982666016,0.720909942923,2,13559,0,1591,15902
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.500982666016,-1.12276900965,1,3023,0,404,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.500982666016,0.955724313387,3,3085,0,340,4032
numenta,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.500982666016,0.85712688145,1,3025,0,402,4032
numenta,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.500982666016,1.77586771749,6,3453,10,459,4621
numenta,standard,realKnownCause/ambient_temperature_system_failure.csv,0.500982666016,1.3245468936,3,5787,4,723,7267
numenta,standard,realTweets/Twitter_volume_CVS.csv,0.500982666016,2.0895007378,5,13571,6,1521,15853
numenta,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.500982666016,0.545597470042,3,3022,3,400,4032
numenta,standard,realAdExchange/exchange-2_cpm_results.csv,0.500982666016,1.58291110691,2,1218,1,160,1624
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.500982666016,-0.44,0,3424,4,0,4032
numenta,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.500982666016,0.603999387502,3,3545,3,470,4730
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.500982666016,1.71603136566,3,3026,0,399,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.500982666016,0.712691965065,5,3021,4,398,4032
numenta,standard,realTraffic/TravelTime_387.csv,0.500982666016,-1.67798286224,1,1872,4,248,2500
numenta,standard,realTweets/Twitter_volume_PFE.csv,0.500982666016,2.77536887487,9,13512,8,1579,15858
numenta,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.500982666016,0.0,0,3428,0,0,4032
numenta,standard,realAdExchange/exchange-4_cpm_results.csv,0.500982666016,1.33270035668,3,1231,2,161,1643
numenta,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.500982666016,1.5987341609,2,3025,1,400,4032
numenta,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.500982666016,1.71595613499,2,3026,0,400,4032
numenta,standard,realTweets/Twitter_volume_UPS.csv,0.500982666016,1.58403123618,10,13523,8,1575,15866
numenta,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.500982666016,-0.138449197924,1,3026,0,401,4032
numenta,standard,realKnownCause/rogue_agent_key_updown.csv,0.500982666016,-1.18575982814,1,4029,6,529,5315
numenta,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.500982666016,0.546717032874,1,3022,3,402,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.500982666016,1.38603136566,2,3023,3,400,4032
numenta,standard,realKnownCause/rogue_agent_key_hold.csv,0.500982666016,-1.06127987311,1,1408,2,189,1882
numenta,standard,realTraffic/speed_7578.csv,0.500982666016,1.39230009211,3,840,2,113,1127
numenta,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.500982666016,2.01624336134,3,3082,0,343,4032
numenta,standard,realAdExchange/exchange-3_cpm_results.csv,0.500982666016,0.640045825534,1,1153,2,152,1538
numenta,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.500982666016,-0.429713520491,2,3544,3,472,4730
numenta,standard,artificialNoAnomaly/art_flatline.csv,0.500982666016,0.0,0,3428,0,0,4032
numenta,standard,artificialWithAnomaly/art_daily_nojump.csv,0.500982666016,-1.0,0,3025,0,403,4032
numenta,standard,realAdExchange/exchange-3_cpc_results.csv,0.500982666016,0.673816500018,2,1155,0,151,1538
numenta,standard,realAdExchange/exchange-4_cpc_results.csv,0.500982666016,0.596417417129,2,1231,1,163,1643
numenta,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.500982666016,0.0,0,3428,0,0,4032
numenta,standard,realTweets/Twitter_volume_AMZN.csv,0.500982666016,0.944602664074,3,13494,7,1577,15831
numenta,standard,realKnownCause/machine_temperature_system_failure.csv,0.500982666016,2.9954906925,8,19671,6,2260,22695
numenta,standard,realTweets/Twitter_volume_KO.csv,0.500982666016,2.3542960628,4,13511,3,1583,15851
numenta,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.500982666016,0.858908670438,2,3025,0,401,4032
numenta,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.500982666016,0.53241650019,1,3022,3,402,4032
numenta,standard,realKnownCause/nyc_taxi.csv,0.500982666016,2.45842028816,6,8534,1,1029,10320
numenta,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.500982666016,-0.123954928552,1,930,1,125,1243
Totals,,,,40.447985617,164,299170,177,33331,365558
